"[0.3, 8.4]","[-0.3498351890560629, 8.398072120463013]","[-0.9975793416867907, 8.345947247439309]","[-1.6393607587040533, 8.243936941948384]","[-2.2713433814091624, 8.092650940435329]","[-2.889749720499741, 7.892993510251461]","[-3.490883434895335, 7.646158044663565]","[-4.0711514255235235, 7.35361992969842]","[-4.627085312007442, 7.0171277254589715]","[-5.155362163884171, 6.638692714623228]","[-5.652824362439266, 6.2205768805966155]","[-6.1164984744391715, 5.765279387174857]","[-6.5436130249493845, 5.275521640531178]","[-6.9316150630065785, 4.754231022815396]","[-7.278185421128284, 4.20452339459251]","[-7.581252577450936, 3.629684470707273]","[-7.839005037639441, 3.0331501808950185]","[-8.049902162559041, 2.418486132527389]","[-8.212683376990316, 1.7893662982483263]","[-8.326375704344912, 1.1495510558886801]"
"[0.1, 6.1]","[-0.5492508352891753, 6.076045055785394]","[-1.1922727870540917, 5.98318356740375]","[-1.821773542595804, 5.822468648219407]","[-2.430614128911863, 5.595722916329401]","[-3.0118898735769486, 5.305517824816407]","[-3.5590087084932707, 4.9551444996961544]","[-4.065765928492146, 4.548576416277117]","[-4.5264145569726395, 4.090424337208326]","[-4.935730520582358, 3.5858840232489113]","[-5.289071893814528, 3.040677309755377]","[-5.582431541646758, 2.460987217119867]","[-5.81248256321762, 1.8533878310518592]","[-5.976616021178392, 1.2247697479092758]","[-6.072970528843094, 0.5822619305804049]","[-6.100453359598092, -0.06684913887513041]","[-6.058752839176018, -0.7152020929615176]","[-5.948341880257057, -1.3554441617344248]","[-5.770472619312781, -1.9803145582865052]","[-5.527162216514438, -2.582726821081781]"
"[1.6, 7.4]","[0.9595678849069088, 7.509942042003739]","[0.3120672340799774, 7.564563043653855]","[-0.33773222064624175, 7.563460646234458]","[-0.9850438135883631, 7.5066429704170226]","[-1.6250992055828848, 7.39452855644049]","[-2.253183509354906, 7.2279432809874145]","[-2.864670021140256, 7.008114273467599]","[-3.4550543027149128, 6.736660876524153]","[-4.019987362770761, 6.415582717350262]","[-4.55530769321125, 6.047244977687807]","[-5.057071924375628, 5.634360971014529]","[-5.521583873373937, 5.179972155262697]","[-5.945421771551832, 4.687425728303061]","[-6.325463470517573, 4.160349971234124]","[-6.658909441054165, 3.602627521107298]","[-6.943303395498049, 3.018366769971018]","[-7.176550381672214, 2.411871600919171]","[-7.356932215087044, 1.7876096840794007]","[-7.483120135729531, 1.1501795660848984]"
